omega_m,lane,quantum_model,amplitude,stable,refinement_l2,max_correction_ratio,turning_points,blowup_near_turning,final_a,passes_refinement_gate,passes_ratio_gate
0.3115,bohmian_q,off,5.032961851958474e-07,True,4.836527890057195e-05,0.0,2,False,1e-06,False,True
0.3115,bohmian_q,gaussian,5.032961851958474e-07,True,4.5738501657814574e-05,1.6851812741516617e-06,2,False,1e-06,False,True
0.3115,bohmian_q,plateau,5.032961851958474e-07,True,4.5319047950288174e-05,1.7682470756331714e-06,2,False,1e-06,False,True
0.3115,bohmian_q,unified_dmde_proxy,5.032961851958474e-07,True,4.544833402138425e-05,1.7426662494064212e-06,2,False,1e-06,False,True
0.3115,alpha_qg,n/a,5.980320138249203e-07,True,0.003355008881801606,3.877080833105295,2,False,0.3056294107561633,False,False
0.3115,bohmian_q,off,5.980320138249203e-07,True,4.836527890057195e-05,0.0,2,False,1e-06,False,True
0.3115,bohmian_q,gaussian,5.980320138249203e-07,True,4.523931140906262e-05,2.0023814836283493e-06,2,False,1e-06,False,True
0.3115,bohmian_q,plateau,5.980320138249203e-07,True,4.4739312101270934e-05,2.1010824279400765e-06,2,False,1e-06,False,True
0.3115,bohmian_q,unified_dmde_proxy,5.980320138249203e-07,True,4.4893447084403636e-05,2.0706866234429747e-06,2,False,1e-06,False,True
0.3115,alpha_qg,n/a,7.106000404519682e-07,True,0.002070547941524297,3.8508294087755717,2,False,0.30613612123453243,False,False
0.3115,bohmian_q,off,7.106000404519682e-07,True,4.836527890057195e-05,0.0,2,False,1e-06,False,True
0.3115,bohmian_q,gaussian,7.106000404519682e-07,True,4.4644240408905804e-05,2.37928739612285e-06,2,False,1e-06,False,True
0.3115,bohmian_q,plateau,7.106000404519682e-07,True,4.404790984137335e-05,2.496566334739474e-06,2,False,1e-06,False,True
0.3115,bohmian_q,unified_dmde_proxy,7.106000404519682e-07,True,4.423177139000119e-05,2.46044927447531e-06,2,False,1e-06,False,True
0.3115,alpha_qg,n/a,8.443568334423105e-07,True,0.001234418054321009,3.8713406526059546,2,False,0.30553889089439745,False,False
0.3115,bohmian_q,off,8.443568334423105e-07,True,4.836527890057195e-05,0.0,2,False,1e-06,False,True
0.3115,bohmian_q,gaussian,8.443568334423105e-07,True,4.3934489676390436e-05,2.8271369938936547e-06,2,False,1e-06,False,True
0.3115,bohmian_q,plateau,8.443568334423105e-07,True,4.322284658741721e-05,2.9664906461468857e-06,2,False,1e-06,False,True
0.3115,bohmian_q,unified_dmde_proxy,8.443568334423105e-07,True,4.3442301070065846e-05,2.9235754837248243e-06,2,False,1e-06,False,True
0.3115,alpha_qg,n/a,1.0032907706102438e-06,True,0.0007317328033042894,3.862159619658245,2,False,0.3039445565775563,False,False
0.3115,bohmian_q,off,1.0032907706102438e-06,True,4.836527890057195e-05,0.0,2,False,1e-06,False,True
0.3115,bohmian_q,gaussian,1.0032907706102438e-06,True,4.308745346569365e-05,3.359283400408624e-06,2,False,1e-06,False,True
0.3115,bohmian_q,plateau,1.0032907706102438e-06,True,4.2237664934805075e-05,3.524866580724249e-06,2,False,1e-06,False,True
0.3115,bohmian_q,unified_dmde_proxy,1.0032907706102438e-06,True,4.2499768801935167e-05,3.4738738029544862e-06,2,False,1e-06,False,True
0.3115,alpha_qg,n/a,1.1921409651983008e-06,True,0.0004285369094039986,3.8594805550531084,2,False,0.3014629145286039,False,False
0.3115,bohmian_q,off,1.1921409651983008e-06,True,4.836527890057195e-05,0.0,2,False,1e-06,False,True
0.3115,bohmian_q,gaussian,1.1921409651983008e-06,True,4.2075939703887606e-05,3.991592935575e-06,2,False,1e-06,False,True
0.3115,bohmian_q,plateau,1.1921409651983008e-06,True,4.106056619044617e-05,4.188342388060199e-06,2,False,1e-06,False,True
0.3115,bohmian_q,unified_dmde_proxy,1.1921409651983008e-06,True,4.137379408164778e-05,4.127751678698316e-06,2,False,1e-06,False,True
0.3115,alpha_qg,n/a,1.4165385773852007e-06,True,0.0002477368959912896,3.844688808982907,2,False,0.29807360922281356,False,False
0.3115,bohmian_q,off,1.4165385773852007e-06,True,4.836527890057195e-05,0.0,2,False,1e-06,False,True
0.3115,bohmian_q,gaussian,1.4165385773852007e-06,True,4.086727713654001e-05,4.742918064498386e-06,2,False,1e-06,False,True
0.3115,bohmian_q,plateau,1.4165385773852007e-06,True,3.965347556614346e-05,4.976699590881765e-06,2,False,1e-06,False,True
0.3115,bohmian_q,unified_dmde_proxy,1.4165385773852007e-06,True,4.002795093337989e-05,4.904704520846104e-06,2,False,1e-06,False,True
0.3115,alpha_qg,n/a,1.6831747249677917e-06,True,0.0001409341097276684,3.8396701104456605,2,False,0.29365813157929943,False,False
0.3115,bohmian_q,off,1.6831747249677917e-06,True,4.836527890057195e-05,0.0,2,False,1e-06,False,True
0.3115,bohmian_q,gaussian,1.6831747249677917e-06,True,3.942238462719481e-05,5.635659323562813e-06,2,False,1e-06,False,True
0.3115,bohmian_q,plateau,1.6831747249677917e-06,True,3.7971270586884556e-05,5.913442582372268e-06,2,False,1e-06,False,True
0.3115,bohmian_q,unified_dmde_proxy,1.6831747249677917e-06,True,3.841891857471701e-05,5.827896778168612e-06,2,False,1e-06,False,True
0.3115,alpha_qg,n/a,2e-06,True,7.866357537414549e-05,3.830919210824869,2,False,0.28799331334555234,False,False
0.3115,bohmian_q,off,2e-06,True,4.836527890057195e-05,0.0,2,False,1e-06,False,True
0.3115,bohmian_q,gaussian,2e-06,True,3.76950634199873e-05,6.696432953083528e-06,2,False,1e-06,False,True
0.3115,bohmian_q,plateau,2e-06,True,3.5961846556688e-05,7.026499129263073e-06,2,False,1e-06,False,True
0.3115,bohmian_q,unified_dmde_proxy,2e-06,True,3.6496227271914895e-05,6.92485231839582e-06,2,False,1e-06,False,True
0.312,alpha_qg,n/a,3e-07,True,0.021980767309158225,3.8248385239447433,2,False,0.2902068027705633,False,False
0.312,bohmian_q,off,3e-07,True,4.850577497821907e-05,0.0,2,False,1e-06,False,True
0.312,bohmian_q,gaussian,3e-07,True,4.698350621451044e-05,9.884843319635385e-07,2,False,1e-06,False,True
0.312,bohmian_q,plateau,3e-07,True,4.67409226068372e-05,1.038155220362706e-06,2,False,1e-06,False,True
0.312,bohmian_q,unified_dmde_proxy,3e-07,True,4.681574868586672e-05,1.0228416628176169e-06,2,False,1e-06,False,True
0.312,alpha_qg,n/a,3.5646923109036204e-07,True,0.01859974359399415,3.866863056255929,2,False,0.29540660857548817,False,False
0.312,bohmian_q,off,3.5646923109036204e-07,True,4.850577497821907e-05,0.0,2,False,1e-06,False,True
0.312,bohmian_q,gaussian,3.5646923109036204e-07,True,4.6695394443304705e-05,1.1745465805582353e-06,2,False,1e-06,False,True
0.312,bohmian_q,plateau,3.5646923109036204e-07,True,4.640661543266507e-05,1.2335669274752072e-06,2,False,1e-06,False,True
0.312,bohmian_q,unified_dmde_proxy,3.5646923109036204e-07,True,4.6495698731705295e-05,1.215370926930163e-06,2,False,1e-06,False,True
0.312,alpha_qg,n/a,4.2356770904717955e-07,True,0.0100949644525933,3.8698006081920364,2,False,0.308201614762924,False,False
0.312,bohmian_q,off,4.2356770904717955e-07,True,4.850577497821907e-05,0.0,2,False,1e-06,False,True
0.312,bohmian_q,gaussian,4.2356770904717955e-07,True,4.6352409016115505e-05,1.3956310911505235e-06,2,False,1e-06,False,True
0.312,bohmian_q,plateau,4.2356770904717955e-07,True,4.600852370198964e-05,1.4657606983792763e-06,2,False,1e-06,False,True
0.312,bohmian_q,unified_dmde_proxy,4.2356770904717955e-07,True,4.611461747614387e-05,1.4441397067334584e-06,2,False,1e-06,False,True
0.312,alpha_qg,n/a,5.032961851958474e-07,True,0.0064542675405363835,3.8222377398158325,2,False,0.3130964799402426,False,False
0.312,bohmian_q,off,5.032961851958474e-07,True,4.850577497821907e-05,0.0,2,False,1e-06,False,True
0.312,bohmian_q,gaussian,5.032961851958474e-07,True,4.594396186211014e-05,1.6583299752437978e-06,2,False,1e-06,False,True
0.312,bohmian_q,plateau,5.032961851958474e-07,True,4.553429729962416e-05,1.7416598711902408e-06,2,False,1e-06,False,True
0.312,bohmian_q,unified_dmde_proxy,5.032961851958474e-07,True,4.566070026562994e-05,1.7159692228363715e-06,2,False,1e-06,False,True
0.312,alpha_qg,n/a,5.980320138249203e-07,True,0.004062751143795622,3.767948925388266,2,False,0.31576578831977226,False,False
0.312,bohmian_q,off,5.980320138249203e-07,True,4.850577497821907e-05,0.0,2,False,1e-06,False,True
0.312,bohmian_q,gaussian,5.980320138249203e-07,True,4.545737014769897e-05,1.97047611837515e-06,2,False,1e-06,False,True
0.312,bohmian_q,plateau,5.980320138249203e-07,True,4.4969128662486165e-05,2.069490895939133e-06,2,False,1e-06,False,True
0.312,bohmian_q,unified_dmde_proxy,5.980320138249203e-07,True,4.5119797527650175e-05,2.0389645888830354e-06,2,False,1e-06,False,True
0.312,alpha_qg,n/a,7.106000404519682e-07,True,0.0024943516701565723,3.846338868130512,2,False,0.3168627308897672,False,False
0.312,bohmian_q,off,7.106000404519682e-07,True,4.850577497821907e-05,0.0,2,False,1e-06,False,True
0.312,bohmian_q,gaussian,7.106000404519682e-07,True,4.487742489875832e-05,2.3413767055274748e-06,2,False,1e-06,False,True
0.312,bohmian_q,plateau,7.106000404519682e-07,True,4.4295244602944624e-05,2.459028590120683e-06,2,False,1e-06,False,True
0.312,bohmian_q,unified_dmde_proxy,7.106000404519682e-07,True,4.44749302553762e-05,2.4227564506593746e-06,2,False,1e-06,False,True
0.312,alpha_qg,n/a,8.443568334423105e-07,True,0.0014912844448920588,3.7659118976367565,2,False,0.316749035237646,False,False
0.312,bohmian_q,off,8.443568334423105e-07,True,4.850577497821907e-05,0.0,2,False,1e-06,False,True
0.312,bohmian_q,gaussian,8.443568334423105e-07,True,4.418586844654238e-05,2.7820906923206114e-06,2,False,1e-06,False,True
0.312,bohmian_q,plateau,8.443568334423105e-07,True,4.349129362186549e-05,2.9218875464387616e-06,2,False,1e-06,False,True
0.312,bohmian_q,unified_dmde_proxy,8.443568334423105e-07,True,4.3705704802856325e-05,2.8787880971427164e-06,2,False,1e-06,False,True
0.312,alpha_qg,n/a,1.0032907706102438e-06,True,0.0008874153671307776,3.866814674008812,2,False,0.31561786079749216,False,False
0.312,bohmian_q,off,1.0032907706102438e-06,True,4.850577497821907e-05,0.0,2,False,1e-06,False,True
0.312,bohmian_q,gaussian,1.0032907706102438e-06,True,4.3360765215515e-05,3.3057584894425267e-06,2,False,1e-06,False,True
0.312,bohmian_q,plateau,1.0032907706102438e-06,True,4.25316173180907e-05,3.471868374887919e-06,2,False,1e-06,False,True
0.312,bohmian_q,unified_dmde_proxy,1.0032907706102438e-06,True,4.2787613740427724e-05,3.420656597781879e-06,2,False,1e-06,False,True
0.312,alpha_qg,n/a,1.1921409651983008e-06,True,0.0005228038880125711,3.800116062050624,2,False,0.31362736693130333,False,False
0.312,bohmian_q,off,1.1921409651983008e-06,True,4.850577497821907e-05,0.0,2,False,1e-06,False,True
0.312,bohmian_q,gaussian,1.1921409651983008e-06,True,4.2375755879682075e-05,3.927993682128701e-06,2,False,1e-06,False,True
0.312,bohmian_q,plateau,1.1921409651983008e-06,True,4.138541132179352e-05,4.125369093444445e-06,2,False,1e-06,False,True
0.312,bohmian_q,unified_dmde_proxy,1.1921409651983008e-06,True,4.169122203448124e-05,4.064518128444891e-06,2,False,1e-06,False,True
0.312,alpha_qg,n/a,1.4165385773852007e-06,True,0.00030415628761875393,3.822405947268448,2,False,0.3107994170577922,False,False
0.312,bohmian_q,off,1.4165385773852007e-06,True,4.850577497821907e-05,0.0,2,False,1e-06,False,True
0.312,bohmian_q,gaussian,1.4165385773852007e-06,True,4.1199204897936525e-05,4.667348452651091e-06,2,False,1e-06,False,True
0.312,bohmian_q,plateau,1.4165385773852007e-06,True,4.001583271554368e-05,4.901873920125774e-06,2,False,1e-06,False,True
